Name,Category,Address,latitude,longitude
Smashburger,Fast Food,"3 Brewster Rd, Newark NJ 07114",40.6977247,-74.1750245
Dunkin',Fast Food,"150 Halsey St, Newark NJ 07102",40.7372903,-74.1729107
Dunkin',Fast Food,"188 Market St, Newark NJ 07102",40.7352659,-74.1715637
Jollibee,Fast Food,"119-129 Bergen St, Newark NJ 07103",40.7394122,-74.1929435
Five Guys,Fast Food,"3 Brewster Rd, Newark NJ 07114",40.6977247,-74.1750245
Panda Express,Fast Food,"Terminal B, 3 Brewster Rd, Newark NJ 07114",,
Guy Fieri's Flavortown Kitchen,Fast Food,"Terminal A, 3 Brewster Rd, Newark NJ 07114",,
Salsarita's Mexican Grill,Fast Food,"Terminal B Arrivals, 3 Brewster Rd, Newark NJ 07114",,
Ess-A-Bagel,Fast Food,"Terminal A Departures, 3 Brewster Rd, Newark NJ 07114",,
Red Mango,Fast Food,"Terminal C, 3 Brewster Rd, Newark NJ 07114",,
Pizza Hut,Fast Food,"198 Market St, Newark NJ 07102",40.7350948,-74.1712705
BurgerFi,Fast Food,"Terminal B, 3 Brewster Rd, Newark NJ 07114",,
Shake Shack,Fast Food,"3 Brewster Rd, Newark NJ 07114",40.6977247,-74.1750245
Chick-fil-A,Fast Food,"Gate C131, 3 Brewster Rd, Newark NJ 07114",,
Jersey Mike's Subs,Fast Food,"265 Market St, Newark NJ 07102",40.7348164,-74.1698661
Checkers,Fast Food,"111 Hartford St, Newark NJ 07103",40.7457864,-74.1893027
Checkers,Fast Food,"Terminal A Food Court, 3 Brewster Rd, Newark NJ 07114",,
White Castle,Fast Food,"642 Broadway, Newark NJ 07104",40.7731589,-74.1612392
Texas Fried Chicken,Fast Food,"250 Lyons Ave, Newark NJ 07112",40.7108144,-74.2153014
Subway,Fast Food,"513 Irvington Ave, Newark NJ 07106",40.7374702,-74.2512325
Taco Bell,Fast Food,"52 Jones St, Newark NJ 07103",40.7353112,-74.1877939
McDonald's,Fast Food,"772 Broad St, Newark NJ 07102",40.7359925,-74.1718045
Wendy's,Fast Food,"187 Market St, Newark NJ 07102",40.7355106,-74.171323
Burger King,Fast Food,"730 Broad St, Newark NJ 07102",40.7371014,-74.1713741
KFC,Fast Food,"125 Bergen St, Newark NJ 07103",40.741063,-74.192185
Popeyes Louisiana Kitchen,Fast Food,"220 Springfield Ave, Newark NJ 07103",40.7350693,-74.1872774
Sonic Drive-In,Fast Food,"189 Springfield Ave, Newark NJ 07103",40.734592,-74.1864818
30 Burgers,Fast Food,"772 Broad St, Newark NJ 07102",40.7359925,-74.1718045
Hamburgao,Fast Food,"288 Lafayette St, Newark NJ 07105",40.7277504,-74.1599691
Blaze Pizza,Fast Food,"691 Broad St, Newark NJ 07102",40.7383468,-74.1706605
Chipotle Mexican Grill,Fast Food,"222 Market St, Newark NJ 07102",40.734963,-74.1703655
Sbarro,Fast Food,"155 University Ave, Newark NJ 07102",40.7424503,-74.1735897
Prince Gyro,Fast Food,"48 Ferry St, Newark NJ 07105",40.732301,-74.162865
Sarku Japan,Fast Food,"210 Springfield Ave, Newark NJ 07103",40.736909,-74.1773658
Cambitas Burgers & More,Fast Food,"55 Broadway, Newark NJ 07104",40.7518726,-74.1705431
JJ's Hotdogs,Fast Food,"230 Bloomfield Ave, Newark NJ 07104",40.7539894,-74.1712247
Sanford's Halal Grill,Fast Food,"821 Sanford Ave, Newark NJ 07106",40.7342728,-74.2378503
Domino's Pizza,Fast Food,"51 Niagara St, Newark NJ 07105",40.7267177,-74.1511691
Krispy Krunchy Chicken,Fast Food,"216 Market St, Newark NJ 07102",40.7349835,-74.1704352
Auntie Anne's,Fast Food,"1 Raymond Plz W & Market St, Newark NJ 07102",,
Bluestone Lane Coffee,Fast Food,"Terminal A East Pier, 3 Brewster Rd, Newark NJ 07114",,
The Good Eats Experience,Fast Food,"85 Mulberry St, Newark NJ 07102",40.736565,-74.168278
QDOBA Mexican Eats,Fast Food,"64 Halsey St, Newark NJ 07102",40.7400629,-74.1712362
Blimpie,Fast Food,"186 W Market St, Newark NJ 07103",40.741,-74.186207
Wingstop,Fast Food,"1244 McCarter Hwy, Newark NJ 07104",40.75108,-74.1672686
Crown Fried Chicken,Fast Food,"254 Washington St, Newark NJ 07102",40.7360828,-74.1753518
Go! Go! Curry,Fast Food,"1 William St, Newark NJ 07102",40.733303,-74.173618
Moe's Southwest Grill,Fast Food,"49 Raymond Plz W, Newark NJ 07102",40.7348494,-74.1649564
WOW Cafe & Wingery,Fast Food,"250 Central Ave, Newark NJ 07103",40.7454696,-74.1819586
Newark Cheesesteak,Fast Food,"22 Bloomfield Ave, Newark NJ 07104",40.7539894,-74.1712247
New York Fried Chicken,Fast Food,"514 Clinton Ave, Newark NJ 07108",40.7216564,-74.2015555
SMH Italian Hot Dogs & Sausages,Fast Food,"610 Springfield Ave, Newark NJ 07103",40.730768,-74.2087745
Island Flava,Fast Food,"866 S Orange Ave, Newark NJ 07106",40.7453272,-74.2238219
Family Manor,Fast Food,"795 Sanford Ave, Newark NJ 07106",40.7350611,-74.2374317
Espiga Dourada 2,Fast Food,"174 Bloomfield Ave, Newark NJ 07104",40.759883,-74.176206
Vito's Gourmet Deli,Fast Food,"67 International Airport St (Terminal C), Newark NJ 07114",,
A & C Food Truck,Fast Food,"Independence Park (Adams St & E Kinney St), Newark NJ 07105",,
